dest_country,shipper,value_norm_usd
Philippines,Hainan Yongan Trade Co Ltd,319894.3
Oman,Inox India Pvt. Ltd.,319871.82
Malaysia,Sunburst Ventures Hk Ltd,319862.93
Vietnam,Ningbo Ninghai Wensui Automatic Machinery Co Ltd,319476.454
Nigeria,Houpu Clean Energy Co Ltd,317315.856
Vietnam,Inox India Pvt. Ltd.,315835.47
Malaysia,Suzhou Alton Electrical Mechanical Industry Co Ltd,314498.1
Vietnam,Genius Premier Sdn. Bhd.,314103.97
Vietnam,Cong Ty Tnhh Tomoe Vietnam,312983.03173
Vietnam,Ningbo Eastar Import Abd Export Co Ltdadd Rm 6516 Building No 6 Etopparkinternet Industrial Park Changxing Rdchina,311960.0
Indonesia,Hyunsung Cooling Tower Co. Ltd.,310950.0
Vietnam,Hd Hyundai Mipo Co Ltd,307842.7291
Indonesia,Ningbo Yixin Mining Co Ltd,306423.82
Vietnam,Air Liquide Thailand Ltd.,305700.0
Vietnam,Zhaoqing Leoch Battery Technology Co Ltd,305519.06
Vietnam,Danieli C Officine Meccaniche S P A,304888.7394
Malaysia,Real Quality International,301436.97
Vietnam,Cong Ty Tnhh Super Gas,300696.67
Brazil,Chery Automobile Hongkong Trade Co Ltd,300677.03
Vietnam,Cong Ty Tnhh Quoc Te Vinata Chi Nhanh,299933.7572666667
Malaysia,Vogt Power International Inc,299034.78
Brazil,Cfm International Inc,295184.0
Vietnam,Guangxi Hongfa Trading Co Ltd,294646.31296999997
Brazil,Shanghai Schulz Machinery Co Ltd,290312.38
Nigeria,Hongyang Group Co Ltd,289462.162
Vietnam,Wisdri Engineering Research Inc Ltd,288462.0
Brazil,Api Heat Transfer Suzhou Co Ltd,287156.19
Malaysia,Air Liquide Global E C Solutions,286287.33
Ethiopia,Hamilton Sundstrand Csc M Sdn Bhd,285877.0
Brazil,Swep North America Inc,285172.6
Vietnam,Zhongheng Vietnam Manufacturing Co. Ltd.,284143.0393
South Africa,Md Ic Ve Foreign Trade Joint Stock Company,279696.02999999997
Vietnam,Chart Cryogenic Engineering Systems (Changzhou) Co. Ltd.,278140.0
Vietnam,Air Liquide Vietnam Co. Ltd.,277596.8
Indonesia,Bac Dalian Co Ltd Suzhou Branch,276950.0
Vietnam,North Street Cooling Towers P Ltd,276000.0
Vietnam,Shenzhen Laun Clean Tech Co Ltd,274766.18
Vietnam,Truwater Cooling Towers Sdn Bhd,274049.82
Kenya,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,273420.0
Malaysia,Chart Cryogenic Engineering Systems (Changzhou) Co. Ltd.,271338.21
Vietnam,Ningbo Weizhe Supply Chain Management Co. Ltd,270669.45564
Vietnam,Tomoe Vietnam Co. Ltd.,270120.48654
Indonesia,Hyun Sung C T Co Ltd,270000.0
Vietnam,Huayuan Trading Ltd.,270000.0
Brazil,Tat Technologies Ltd,269776.0
Vietnam,Air Liquide Business Service Sdn Bhd,269596.8
Indonesia,Xiamen Jing Yi Export And Import Co. Ltd.,267614.27
Vietnam,Mve Biological Solutions Us Llc New Prague Mn 56071 Us,267545.988
Brazil,Alfa Laval Spa,266915.58
United Arab Emirates,Llp Caley Energy,263878.0
Vietnam,S.Power (Hk) Ltd.,262085.15898
Vietnam,Astro Tech Co. Ltd,262000.0
United States,Inds Gutierrez S A C V,261981.71000000002
Nigeria,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,260567.94
Indonesia,Lipico Technologies Pte Ltdheng Loong Building Singapore658078,260000.0
United Arab Emirates,Krison Engineering Works,259948.0
Indonesia,Solar Plaza Smart Energy Ltd Co,259007.0
Brazil,Ufi Filters Mexico S De R L De C,258453.45
Brazil,Qsc Corp,258316.0
Brazil,Caterpillar Sarl,257761.0
Malaysia,Nxp Malaysia Sdn. Bhd.,257556.32
Vietnam,Taylor-Wharton (Beijing) Cryogenic Equipment Co. Ltd,256000.0
United States,Compabia Arizlu S.A. De C.V.,254587.62
