dest_country,shipper,value_usd
Malaysia,Eleet Cryogenics Inc,67500.92
India,Thermo Fisher Scientific,66905.37
Vietnam,Shandong Zhongneng Zhihua Energy Equipment Technology Co Ltd,66670.0
India,Shanghai Wsmos Fine Chemical Co.,66219.89
Oman,Tedsan Machinery Engineering Contracting Industry And Trade Ltd,65750.0
Vietnam,"Shandong Hongqiao Energy Equipment Technology Co., Ltd.",65600.0
Kenya,Yilteks Enerji,64074.71
Vietnam,"Wuxi Triumph Gases Equipment Co., Ltd.",64000.0
Philippines,Shanghai Qilong High Pressure Conta,63060.5
India,Acre Coking Refractory Engineering Consulting Corporation,62772.3
Saudi Arabia,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,62700.0
Vietnam,Nha Trang Bay Joint Stock Co Lot B13 1 St Suoi Dau Industrial Zone Cam Lam District,62125.0
Vietnam,Dragon Waves Frozen Food Factory Co. Ltd.,62125.0
Vietnam,Hongkong Bao Zun International Co Limited,61255.0
Vietnam,Advanced Sciences & Technologies Sa,60950.12614
Vietnam,Inox India Ltd,60900.0
Philippines,Cummins Power Generation Ltd,60818.6
Vietnam,Jade Beauty Trading Investment Company Ltd.,60000.0
Vietnam,Huayuan Trading Ltd Ltd,60000.0
Vietnam,Vina Peak View Technology Co. Ltd.,60000.0
India,Md Ic Ve Foreign Trade Joint Stock Company,58832.450000000004
Malaysia,Ningbo Mingxin Chemical Machinery Co Ltd,58774.52
Vietnam,Mk Chemical Co Ltd,58490.0
Qatar,Erkasis Engineering Cooling Industry Trade Joint Stock Company,58200.0
Vietnam,Asia Pacific Gas Enterprise Company Limited,58175.0
Vietnam,Smart Best Co. Ltd. Super Trade Overseas Co. Ltd.,57200.0
Vietnam,Smart Best Co. Ltd.,57200.0
India,Phuc Thanh Viet Nam Joint Stock Company Co.,57000.0
Malaysia,Jiangxi Oxygen Plant Co Ltd,56957.1
Vietnam,Isgec Heavy Engineering Ltd,56700.0
Malaysia,Zjmz Import Export Co Ltd,56052.51
Vietnam,Bs Shipping Pvt. Ltd.,55976.07536
Namibia,Anhui Cox Import Export Trading Co Ltd,55831.61
Vietnam,Azenta Uk Ltd,55231.0
Ghana,Flsmidth Inc.,55193.511999999995
Vietnam,Kunjek Viet Nam Cage No 1 Joint Stock Company,54720.33710999999
Malaysia,Megade Chong Qing Trading Co Ltd,54445.52
Philippines,Hebei Runfeng Low Temperature,54430.1
South Africa,Bharat Tanks And Vessels Llp,54391.0
Philippines,Aarti Industries Ltd,53718.0
Nigeria,Dogumak Ic Ve Dis Ticaret Limited Sirketi,53572.735
Ghana,Karbonsan Kurubuz Ve Basincli Kaplar San. Tic. Ltd. Sti.,53319.372
Malaysia,Wuxi Triump Gases Equipment Co Ltd,53308.229999999996
United States,Pt Lotte Chemical Titan Nusantara,53291.6
Vietnam,Wuhan Rui Sunny Chemical Co Ltd,53280.0
Vietnam,Cong Ty Tnhh Khi Cong Nghiep Vinasanfu,53227.82173
Vietnam,Vinasanfu Industrial Gas Company Ltd.,53227.82173
